ID,Name,Type,Level,Rarity,Auto Tier,Base Power,Balanced Attack,Balanced Defense,Auto Value,Auto Weight,Durability,Max Durability,Damage Type,Armor Type,Special Effect,Description,Power Score
16,Phantom Scimitar,Weapon,35,Uncommon,Tier 4,3,35,0,2800,8.8,237,280,Bludgeoning,,Extra Damage vs Dragons,Marked with runes,40.3
17,Dragon Katana,Weapon,10,Common,Tier 1,1,10,0,50,2.5,138,139,Bludgeoning,,Attack Speed +15%,Found in ancient ruins,10
18,Obsidian Crossbow,Weapon,7,Common,Tier 1,1,10,0,35,2.2,107,119,Slashing,,Bleed Damage,Forged in dragon fire,10
19,Ethereal Chestplate,Armor,39,Rare,Tier 4,3,0,32,7020,11.1,328,410,,Medium,,Recovered from a great battle,43.2
20,Imperial Circlet of the Defender,Armor,23,Legendary,Tier 3,2.2,0,35,11500,10.6,332,545,,Light,Block Chance +10%,Crafted by master artisans,70
21,Arcane Bow of Valor,Weapon,10,Common,Tier 1,1,10,0,50,2.5,142,142,Bludgeoning,,,Recently reforged,10
22,Celestial Axe,Weapon,28,Common,Tier 3,2.2,22,0,560,6.1,118,191,Bludgeoning,,Attack Speed +10%,Legendary artifact of power,22
23,Dragon Scale Gloves of Warding,Armor,34,Uncommon,Tier 4,3,0,28,2720,9.7,307,313,,Light,,A reliable piece of equipment,32.2
24,Obsidian Mace of Destruction,Weapon,25,Rare,Tier 3,2.2,30,0,2250,7,293,359,Slashing,,,Crafted with care,40.5
25,Celestial War Axe,Weapon,21,Uncommon,Tier 3,2.2,25,0,840,5.9,181,212,Piercing,,Banishes Undead,Imbued with magical energy,28.8
26,Golden Spear,Weapon,29,Common,Tier 3,2.2,22,0,580,6.2,186,229,Piercing,,Critical +15%,Legendary artifact of power,22
27,Ancient Lance,Weapon,17,Common,Tier 2,1.5,15,0,170,4,103,150,Slashing,,Attack Speed +10%,Found in ancient ruins,15
28,Steel Longbow,Weapon,34,Rare,Tier 4,3,41,0,6120,9.6,285,392,Slashing,,+15 Lightning Damage,Shows signs of age,55.4
29,Dragon Lance of Power,Weapon,40,Common,Tier 4,3,30,0,1600,8.5,227,262,Bludgeoning,,+5 Fire Damage,Decorated with jewels,30
30,Mythril Rapier of Life,Weapon,5,Uncommon,Tier 1,1,12,0,50,2.3,94,127,Slashing,,Lifesteal 5%,Shows signs of age,13.8
31,Dragon Longsword,Weapon,48,Common,Tier 5,4,40,0,3600,10.8,307,313,Slashing,,,Simple but effective,40
32,Cursed War Axe of the Phoenix,Weapon,47,Epic,Tier 5,4,64,0,35250,14.3,343,497,Piercing,,+5 Lightning Damage,Perfectly balanced,102.4
33,Obsidian Shoulders of Honor,Armor,21,Epic,Tier 3,2.2,0,28,4200,8.7,313,411,,Light,,A reliable piece of equipment,44.8
34,Plate Mail,Armor,4,Uncommon,Tier 1,1,0,9,40,2.6,120,120,,Light,Ice Resist 50%,Masterwork quality,10.4
35,Crystal Circlet,Armor,21,Common,Tier 3,2.2,0,18,420,6.2,109,157,,Medium,,Battle-tested and true,18
36,Rusty Longsword,Weapon,21,Common,Tier 3,2.2,22,0,420,5.4,120,160,Slashing,,+5 Poison Damage,Battle-tested and true,22
37,Blessed Dagger,Weapon,16,Common,Tier 2,1.5,15,0,160,3.9,118,164,Slashing,,Attack Speed +15%,Bears a royal crest,15
38,Divine Mail,Armor,46,Legendary,Tier 5,4,0,64,86250,19.7,411,648,,Medium,Dodge +10%,Surprisingly lightweight,128
39,Holy Warhammer of the Storm,Weapon,37,Epic,Tier 4,3,48,0,14800,10.9,413,466,Slashing,,+10 Poison Damage,Forged by skilled hands,76.8
40,Crystal War Axe,Weapon,21,Common,Tier 3,2.2,22,0,420,5.4,107,162,Bludgeoning,,Lifesteal 5%,Surprisingly sturdy,22
41,Thunder Sword,Weapon,39,Common,Tier 4,3,30,0,1560,8.4,213,286,Slashing,,+25 Health on Kill,Surprisingly lightweight,30
42,Obsidian Shortbow,Weapon,40,Common,Tier 4,3,30,0,1600,8.5,247,253,Piercing,,Banishes Undead,Shows signs of age,30
43,Phantom Rapier of Wisdom,Weapon,41,Epic,Tier 5,4,64,0,30750,13.7,360,518,Slashing,,,Fitted for comfort,102.4
44,Shadow Bracers,Armor,28,Rare,Tier 3,2.2,0,24,2520,8.2,339,372,,Light,Thorns Damage,Decorated with jewels,32.4
45,Steel Stiletto of Speed,Weapon,15,Epic,Tier 2,1.5,24,0,1500,5.1,277,325,Bludgeoning,,Extra Damage vs Demons,Masterwork quality,38.4
46,Mythril Bracers,Armor,28,Uncommon,Tier 3,2.2,0,20,1120,7.2,251,276,,Light,Fire Resist 10%,Found in ancient ruins,23
47,Thunder Morning Star of the Warrior,Weapon,48,Epic,Tier 5,4,64,0,36000,14.4,470,528,Slashing,,Armor Penetration +15%,Crafted with care,102.4
48,Holy Mail,Armor,38,Common,Tier 4,3,0,24,1520,9,216,264,,Light,+2 All Stats,Recently reforged,24
49,Mythril Greatsword,Weapon,47,Common,Tier 5,4,40,0,3525,10.7,206,294,Bludgeoning,,Lifesteal 5%,Holds mysterious power,40
50,Steel Mail of the Guardian,Armor,27,Epic,Tier 3,2.2,0,28,5400,9.2,311,386,,Medium,Block Chance +15%,Surprisingly sturdy,44.8
51,Ancient Axe,Weapon,20,Rare,Tier 2,1.5,20,0,900,5,245,297,Slashing,,Soul Eater,Bears a royal crest,27
52,Dragon Knife of Doom,Weapon,24,Uncommon,Tier 3,2.2,25,0,960,6.2,207,251,Bludgeoning,,+5 Poison Damage,Glows with inner light,28.8
53,Celestial War Axe,Weapon,2,Uncommon,Tier 1,1,12,0,20,2,88,130,Slashing,,Bleed Damage,Shows signs of age,13.8
54,Dragon Cleaver,Weapon,45,Common,Tier 5,4,40,0,3375,10.5,309,314,Bludgeoning,,+10 Poison Damage,Surprisingly lightweight,40
55,Phantom Mace,Weapon,29,Rare,Tier 3,2.2,30,0,2610,7.4,267,295,Slashing,,Lifesteal 10%,Masterwork quality,40.5
56,Ethereal Dirk,Weapon,30,Uncommon,Tier 3,2.2,25,0,1200,6.8,191,291,Slashing,,+25 Health on Kill,Shows signs of age,28.8
57,Holy Sword of Valor,Weapon,16,Epic,Tier 2,1.5,24,0,1600,5.2,327,383,Bludgeoning,,+50 Mana on Kill,Imbued with magical energy,38.4
58,Elven Knife,Weapon,23,Common,Tier 3,2.2,22,0,460,5.6,136,186,Piercing,,+5 Lightning Damage,Shows signs of age,22
59,Iron Circlet of Absorption,Armor,26,Uncommon,Tier 3,2.2,0,20,1040,7.1,221,271,,Heavy,Aura: +5 Defense to Allies,One of a kind,23
60,Phantom Battleaxe,Weapon,43,Rare,Tier 5,4,54,0,14513,12.4,377,388,Slashing,,Critical +10%,Legendary artifact of power,72.9
61,Hide Mantle of Reflection,Armor,23,Uncommon,Tier 3,2.2,0,20,920,6.8,234,245,,Light,Fire Resist 25%,Once wielded by a hero,23
62,Adamant Morning Star,Weapon,9,Common,Tier 1,1,10,0,45,2.4,98,139,Bludgeoning,,Armor Penetration +10%,Masterwork quality,10
63,Cursed Halberd of Valor,Weapon,42,Epic,Tier 5,4,64,0,31500,13.8,548,559,Slashing,,Critical +20%,Fitted for comfort,102.4
64,Thunder Trident,Weapon,48,Common,Tier 5,4,40,0,3600,10.8,262,329,Piercing,,Banishes Undead,Perfectly balanced,40
65,Rusty Knife,Weapon,9,Rare,Tier 1,1,14,0,203,3,181,245,Slashing,,,Marked with runes,18.9
66,Spectral Pants,Armor,11,Uncommon,Tier 2,1.5,0,14,220,4.4,133,165,,Heavy,Lightning Resist 25%,Found in ancient ruins,16.1
67,Golden Rod of Power,Weapon,49,Epic,Tier 5,4,64,0,36750,14.5,513,530,Slashing,,Ignore Dodge,Battle-tested and true,102.4
68,Runic Vest,Armor,28,Common,Tier 3,2.2,0,18,560,6.7,200,227,,Medium,Ice Resist 10%,Simple but effective,18
69,Thunder Scimitar,Weapon,15,Rare,Tier 2,1.5,20,0,675,4.5,268,315,Slashing,,+50 Mana on Kill,Fitted for comfort,27
70,Enchanted Chestplate of the Defender,Armor,44,Epic,Tier 5,4,0,51,33000,16.3,407,554,,Heavy,Fire Resist 50%,Crafted with care,81.6
71,Holy War Axe,Weapon,19,Common,Tier 2,1.5,15,0,190,4.2,140,163,Piercing,,Banishes Undead,Forged in dragon fire,15
72,Light Axe of Order,Weapon,10,Uncommon,Tier 1,1,12,0,100,2.8,122,155,Piercing,,,Whispers of ancient magic,13.8
73,Iron Morning Star of Chaos,Weapon,32,Common,Tier 4,3,30,0,1280,7.7,203,234,Slashing,,+20 Ice Damage,Simple but effective,30
74,Steel Halberd of Destruction,Weapon,39,Uncommon,Tier 4,3,35,0,3120,9.2,263,324,Slashing,,,Surprisingly sturdy,40.3
75,Runic Vest,Armor,20,Rare,Tier 2,1.5,0,16,900,5.6,236,290,,Medium,Fire Resist 50%,Glows with inner light,21.6
76,Frost Halberd,Weapon,50,Uncommon,Tier 5,4,46,0,7500,11.9,378,388,Piercing,,+10 Ice Damage,Marked with runes,52.9
77,Mythril Crossbow,Weapon,15,Common,Tier 2,1.5,15,0,150,3.8,123,151,Slashing,,Vampiric,Perfectly balanced,15
78,Holy Shield of Warding,Armor,49,Epic,Tier 5,4,0,51,36750,16.7,422,542,,Light,Magic Resist 15%,Rumored to be cursed,81.6
79,Toxic Trident,Weapon,31,Common,Tier 4,3,30,0,1240,7.6,217,241,Slashing,,Splash Damage,Perfectly balanced,30
80,Leather Helmet,Armor,8,Common,Tier 1,1,0,8,40,2.6,120,138,,Heavy,Thorns Damage,Whispers of ancient magic,8
81,Runic Gauntlets of Honor,Armor,43,Uncommon,Tier 5,4,0,37,6450,12.7,290,332,,Heavy,+50 Health,Glows with inner light,42.6
82,Blessed Hatchet,Weapon,13,Common,Tier 2,1.5,15,0,130,3.6,113,146,Bludgeoning,,,Marked with runes,15
83,Iron War Axe,Weapon,3,Common,Tier 1,1,10,0,15,1.8,75,86,Slashing,,Banishes Undead,Forged by skilled hands,10
84,Cursed Morning Star,Weapon,21,Common,Tier 3,2.2,22,0,420,5.4,161,202,Piercing,,+15 Fire Damage,Recently reforged,22
85,Crystal Cleaver of Valor,Weapon,5,Epic,Tier 1,1,16,0,250,2.9,299,304,Bludgeoning,,Bleed Damage,Found in ancient ruins,25.6
86,Rusty Knife of Lightning,Weapon,41,Rare,Tier 5,4,54,0,13838,12.2,385,426,Piercing,,+20 Ice Damage,Forged by skilled hands,72.9
87,Void Halberd of Order,Weapon,46,Epic,Tier 5,4,64,0,34500,14.2,316,511,Piercing,,,Recovered from a great battle,102.4
88,Void Battleaxe,Weapon,26,Common,Tier 3,2.2,22,0,520,5.9,121,185,Bludgeoning,,Knockback,Resistant to corrosion,22
89,Ethereal Rod,Weapon,19,Common,Tier 2,1.5,15,0,190,4.2,161,174,Slashing,,+5 Ice Damage,Whispers of ancient magic,15
90,Golden Crossbow of the Dragon,Weapon,17,Uncommon,Tier 2,1.5,17,0,340,4.3,170,222,Piercing,,Armor Penetration +15%,Worn by many warriors,19.6
91,Shadow Dirk,Weapon,7,Common,Tier 1,1,10,0,35,2.2,75,116,Piercing,,+5 Fire Damage,Forged by skilled hands,10
92,Phantom Rapier,Weapon,21,Uncommon,Tier 3,2.2,25,0,840,5.9,219,225,Piercing,,Attack Speed +10%,Bears a royal crest,28.8
93,Celestial Hatchet,Weapon,4,Uncommon,Tier 1,1,12,0,40,2.2,134,146,Bludgeoning,,Cannot be Blocked,Marked with runes,13.8
94,Orcish Mantle of the Mountain,Armor,13,Common,Tier 2,1.5,0,12,130,4,103,116,,Light,Immune to Stun,Recovered from a great battle,12
95,Dark Cap,Armor,6,Uncommon,Tier 1,1,0,9,60,2.7,160,177,,Heavy,Cannot be Disarmed,Glows with inner light,10.4
96,Demon Battleaxe of the Void,Weapon,2,Common,Tier 1,1,10,0,10,1.7,49,73,Piercing,,+5 Ice Damage,Perfectly balanced,10
97,Spectral Trident,Weapon,38,Common,Tier 4,3,30,0,1520,8.3,173,260,Piercing,,,Perfectly balanced,30
98,Crystal Shortbow,Weapon,30,Common,Tier 3,2.2,22,0,600,6.3,208,243,Piercing,,+15 Lightning Damage,Marked with runes,22
99,Worn Cap,Armor,7,Common,Tier 1,1,0,8,35,2.6,108,108,,Medium,Poison Resist 50%,Found in ancient ruins,8
100,Ancient Wand,Weapon,32,Uncommon,Tier 4,3,35,0,2560,8.5,202,282,Slashing,,+15 Lightning Damage,A reliable piece of equipment,40.3
101,Holy Shoulders,Armor,14,Common,Tier 2,1.5,0,12,140,4.1,132,138,,Light,Damage Reduction 5%,Holds mysterious power,12
102,Steel Mace,Weapon,41,Uncommon,Tier 5,4,46,0,6150,11,205,306,Slashing,,,A reliable piece of equipment,52.9
103,Thunder Wand,Weapon,31,Common,Tier 4,3,30,0,1240,7.6,142,234,Bludgeoning,,+20 Ice Damage,Bears a royal crest,30
104,Iron Flail,Weapon,24,Common,Tier 3,2.2,22,0,480,5.7,186,210,Bludgeoning,,Soul Eater,Masterwork quality,22
105,Demon Stiletto of Ice,Weapon,13,Epic,Tier 2,1.5,24,0,1300,4.9,273,356,Slashing,,Attack Speed +15%,Fitted for comfort,38.4
106,Crystal War Axe,Weapon,17,Common,Tier 2,1.5,15,0,170,4,112,178,Bludgeoning,,+5 Lightning Damage,Decorated with jewels,15
107,Dark Greatsword,Weapon,11,Common,Tier 2,1.5,15,0,110,3.4,100,115,Bludgeoning,,Splash Damage,Worn by many warriors,15
108,Demon Rapier,Weapon,32,Rare,Tier 4,3,41,0,5760,9.4,308,409,Bludgeoning,,Attack Speed +15%,Crafted with care,55.4
109,Celestial Hatchet,Weapon,47,Rare,Tier 5,4,54,0,15863,12.8,453,456,Slashing,,Stun Chance 10%,Shows signs of age,72.9
110,Crystal Greaves of Invulnerability,Armor,41,Common,Tier 5,4,0,32,3075,11.3,213,295,,Light,Fire Resist 25%,Forged by skilled hands,32
111,Hide Gauntlets,Armor,43,Rare,Tier 5,4,0,43,14513,14.2,310,431,,Light,Poison Resist 50%,Masterwork quality,58.1
112,Obsidian Axe,Weapon,45,Common,Tier 5,4,40,0,3375,10.5,285,320,Slashing,,+15 Ice Damage,Never dulls,40
113,Elven Kite Shield of Honor,Armor,23,Common,Tier 3,2.2,0,18,460,6.3,128,180,,Light,Ice Resist 50%,Recovered from a great battle,18
114,Holy Katana,Weapon,17,Rare,Tier 2,1.5,20,0,765,4.7,230,297,Slashing,,+20 Ice Damage,Shows signs of age,27
115,Flame Rapier of Might,Weapon,32,Rare,Tier 4,3,41,0,5760,9.4,214,332,Piercing,,Splash Damage,Rumored to be cursed,55.4
116,Holy Hatchet,Weapon,7,Rare,Tier 1,1,14,0,158,2.8,131,203,Bludgeoning,,+10 Fire Damage,Once wielded by a hero,18.9
117,Dragon Axe,Weapon,40,Uncommon,Tier 4,3,35,0,3200,9.3,333,343,Bludgeoning,,Cannot be Blocked,Forged by skilled hands,40.3
118,Dwarven Breastplate,Armor,44,Common,Tier 5,4,0,32,3300,11.5,210,271,,Heavy,Lightning Resist 25%,Decorated with jewels,32
119,Obsidian Hatchet,Weapon,19,Rare,Tier 2,1.5,20,0,855,4.9,218,300,Piercing,,Vampiric,Masterwork quality,27
120,Obsidian War Axe,Weapon,27,Common,Tier 3,2.2,22,0,540,6,154,200,Slashing,,+5 Lightning Damage,Worn by many warriors,22
121,Silver Shortsword,Weapon,26,Uncommon,Tier 3,2.2,25,0,1040,6.4,162,236,Bludgeoning,,+50 Mana on Kill,A reliable piece of equipment,28.8
122,Dark Morning Star,Weapon,20,Uncommon,Tier 2,1.5,17,0,400,4.6,225,234,Slashing,,+5 Lightning Damage,Legendary artifact of power,19.6
123,Godslayer,Weapon,50,Legendary,Tier 5,4,80,0,93750,17,407,646,Slashing,,+10 Lightning Damage,Forged by skilled hands,160
124,Blessed Hatchet,Weapon,31,Common,Tier 4,3,30,0,1240,7.6,192,240,Piercing,,+10 Ice Damage,Perfectly balanced,30
125,Holy Cap,Armor,11,Rare,Tier 2,1.5,0,16,495,4.9,149,235,,Light,Magic Resist 15%,Marked with runes,21.6
126,Hide Helm,Armor,26,Common,Tier 3,2.2,0,18,520,6.6,160,224,,Heavy,Fire Resist 10%,One of a kind,18
127,Arcane Axe of the Defender,Weapon,13,Common,Tier 2,1.5,15,0,130,3.6,102,140,Bludgeoning,,Attack Speed +10%,Simple but effective,15
128,Spectral Bow,Weapon,36,Rare,Tier 4,3,41,0,6480,9.8,321,384,Piercing,,+50 Mana on Kill,Worn by many warriors,55.4
129,Enchanted Stiletto,Weapon,11,Common,Tier 2,1.5,15,0,110,3.4,98,145,Piercing,,Attack Speed +15%,Simple but effective,15
130,Mythril Scepter of the Warrior,Weapon,14,Epic,Tier 2,1.5,24,0,1400,5,290,419,Bludgeoning,,+5 Poison Damage,One of a kind,38.4
131,Dark Warhammer,Weapon,45,Rare,Tier 5,4,54,0,15188,12.6,238,390,Slashing,,Critical +10%,Battle-tested and true,72.9
132,Ethereal Wand of the Mage,Weapon,36,Epic,Tier 4,3,48,0,14400,10.8,266,431,Slashing,,Bleed Damage,Bears a royal crest,76.8
133,Shadow Shortbow,Weapon,32,Rare,Tier 4,3,41,0,5760,9.4,207,310,Bludgeoning,,Soul Eater,Perfectly balanced,55.4
134,Celestial Morning Star of the Slayer,Weapon,47,Epic,Tier 5,4,64,0,35250,14.3,464,493,Slashing,,Lifesteal 10%,Crafted with care,102.4
135,Infinity,Weapon,44,Legendary,Tier 5,4,80,0,82500,16.4,525,700,Piercing,,Armor Penetration +10%,Found in ancient ruins,160
136,Obsidian Battleaxe,Weapon,10,Common,Tier 1,1,10,0,50,2.5,136,150,Bludgeoning,,Soul Eater,Surprisingly sturdy,10
137,Flame Shortsword,Weapon,6,Common,Tier 1,1,10,0,30,2.1,69,107,Piercing,,Critical +10%,Blessed by the gods,10
138,Leather Circlet,Armor,34,Uncommon,Tier 4,3,0,28,2720,9.7,188,276,,Medium,Mana Regen +5,Crafted by master artisans,32.2
139,Runic Kite Shield of the Guardian,Armor,20,Common,Tier 2,1.5,0,12,200,4.6,160,182,,Light,Health Regen +5,Masterwork quality,12
140,Crystal Axe of the Warrior,Weapon,31,Common,Tier 4,3,30,0,1240,7.6,205,242,Bludgeoning,,Knockback,Masterwork quality,30
141,Golden Wand of Glory,Weapon,45,Epic,Tier 5,4,64,0,33750,14.1,312,498,Slashing,,Stun Chance 10%,One of a kind,102.4
142,Ancient Mail of Glory,Armor,9,Legendary,Tier 1,1,0,16,1125,4.7,479,540,,Heavy,,Once wielded by a hero,32
143,Light Boots,Armor,19,Common,Tier 2,1.5,0,12,190,4.5,177,193,,Light,+100 Health,Once wielded by a hero,12
144,Enchanted Crossbow,Weapon,1,Common,Tier 1,1,10,0,5,1.6,83,103,Piercing,,+10 Fire Damage,Found in ancient ruins,10
145,Phantom Trident,Weapon,13,Common,Tier 2,1.5,15,0,130,3.6,105,160,Piercing,,+10 Poison Damage,Whispers of ancient magic,15
146,Adamant Spear of the Storm,Weapon,45,Uncommon,Tier 5,4,46,0,6750,11.4,364,371,Piercing,,Splash Damage,Whispers of ancient magic,52.9
147,Arcane Staff of Order,Weapon,5,Common,Tier 1,1,10,0,25,2,66,97,Piercing,,Critical +10%,Glows with inner light,10
148,Blessed Helm,Armor,31,Common,Tier 4,3,0,24,1240,8.5,215,235,,Light,Immune to Stun,Once wielded by a hero,24
149,Spectral Rod of the Warrior,Weapon,27,Uncommon,Tier 3,2.2,25,0,1080,6.5,222,257,Slashing,,Armor Penetration +10%,Legendary artifact of power,28.8
150,Runic Cuirass,Armor,33,Common,Tier 4,3,0,24,1320,8.6,205,227,,Medium,,Surprisingly sturdy,24
151,Ancient Dirk,Weapon,2,Rare,Tier 1,1,14,0,45,2.3,109,173,Slashing,,Armor Penetration +15%,Never dulls,18.9
152,Light Stiletto,Weapon,5,Uncommon,Tier 1,1,12,0,50,2.3,136,162,Piercing,,+5 Poison Damage,Shows signs of age,13.8
153,Silver Crossbow,Weapon,22,Common,Tier 3,2.2,22,0,440,5.5,170,178,Slashing,,Lifesteal 10%,Fitted for comfort,22
154,Light Halberd,Weapon,1,Common,Tier 1,1,10,0,5,1.6,62,72,Bludgeoning,,+10 Ice Damage,Perfectly balanced,10
155,Void Battleaxe of Eternity,Weapon,8,Uncommon,Tier 1,1,12,0,80,2.6,151,180,Piercing,,Soul Eater,Recently reforged,13.8
156,Toxic Scepter,Weapon,47,Rare,Tier 5,4,54,0,15863,12.8,415,453,Piercing,,+15 Ice Damage,Bears a royal crest,72.9
157,Studded Tower Shield,Armor,35,Common,Tier 4,3,0,24,1400,8.8,254,264,,Heavy,Mana Regen +5,Fitted for comfort,24
158,Light Hood,Armor,42,Common,Tier 5,4,0,32,3150,11.4,172,275,,Medium,Dodge +5%,Bears a royal crest,32
159,Iron Shortbow of the Warrior,Weapon,38,Uncommon,Tier 4,3,35,0,3040,9.1,238,314,Piercing,,Soul Eater,Imbued with magical energy,40.3
160,Holy Hood,Armor,38,Rare,Tier 4,3,0,32,6840,11,237,389,,Heavy,Movement Speed +10%,Crafted by master artisans,43.2
161,Steel Sword,Weapon,50,Uncommon,Tier 5,4,46,0,7500,11.9,231,355,Slashing,,Double Strike 5%,Surprisingly sturdy,52.9
162,Holy Flail of Might,Weapon,30,Uncommon,Tier 3,2.2,25,0,1200,6.8,191,272,Bludgeoning,,Lifesteal 5%,Rumored to be cursed,28.8
163,Dragon Flail of Life,Weapon,47,Epic,Tier 5,4,64,0,35250,14.3,503,560,Piercing,,Critical +10%,Imbued with magical energy,102.4
164,Shadow Bow of Strength,Weapon,2,Uncommon,Tier 1,1,12,0,20,2,87,110,Bludgeoning,,Double Strike 5%,Perfectly balanced,13.8
165,Dragon Lance,Weapon,19,Uncommon,Tier 2,1.5,17,0,380,4.5,176,212,Bludgeoning,,Extra Damage vs Dragons,Shows signs of age,19.6
166,Oblivion,Weapon,44,Legendary,Tier 5,4,80,0,82500,16.4,544,603,Bludgeoning,,Attack Speed +5%,Marked with runes,160
167,Obsidian Club,Weapon,27,Common,Tier 3,2.2,22,0,540,6,148,199,Piercing,,,Forged by skilled hands,22
168,Elven Bow of Life,Weapon,21,Rare,Tier 3,2.2,30,0,1890,6.6,219,352,Bludgeoning,,Attack Speed +15%,Found in ancient ruins,40.5
169,Thunder Spear,Weapon,16,Common,Tier 2,1.5,15,0,160,3.9,151,173,Piercing,,+10 Poison Damage,Masterwork quality,15
170,Dark Sword,Weapon,27,Common,Tier 3,2.2,22,0,540,6,154,195,Piercing,,Attack Speed +5%,Shows signs of age,22
171,Thunder Stiletto,Weapon,21,Common,Tier 3,2.2,22,0,420,5.4,157,173,Piercing,,Critical +20%,Fitted for comfort,22
172,Silver Rapier,Weapon,25,Uncommon,Tier 3,2.2,25,0,1000,6.3,242,265,Bludgeoning,,+5 Ice Damage,Never dulls,28.8
173,Ancient Club,Weapon,37,Rare,Tier 4,3,41,0,6660,9.9,391,432,Bludgeoning,,Banishes Undead,Battle-tested and true,55.4
174,Orcish Buckler,Armor,25,Uncommon,Tier 3,2.2,0,20,1000,7,219,227,,Light,Immune to Stun,Forged by skilled hands,23
175,Enchanted Tunic,Armor,28,Common,Tier 3,2.2,0,18,560,6.7,152,200,,Heavy,+10 Mana,Blessed by the gods,18
176,Adamant Greatsword of the Warrior,Weapon,27,Epic,Tier 3,2.2,35,0,5400,8,301,431,Bludgeoning,,Lifesteal 5%,Crafted with care,56
177,Crystal Katana,Weapon,1,Common,Tier 1,1,10,0,5,1.6,72,74,Bludgeoning,,Critical +15%,Holds mysterious power,10
178,Ethereal Mace of the Void,Weapon,38,Rare,Tier 4,3,41,0,6840,10,298,341,Piercing,,Stun Chance 10%,Marked with runes,55.4
179,Demon Hide Gauntlets,Armor,30,Common,Tier 3,2.2,0,18,600,6.9,191,229,,Heavy,Block Chance +10%,Found in ancient ruins,18
180,Phantom Battleaxe of the Mage,Weapon,37,Common,Tier 4,3,30,0,1480,8.2,230,253,Slashing,,+5 Poison Damage,Blessed by the gods,30
181,Dragon Cleaver,Weapon,13,Common,Tier 2,1.5,15,0,130,3.6,119,144,Piercing,,+5 Ice Damage,Bears a royal crest,15
182,Ethereal Greatsword,Weapon,13,Common,Tier 2,1.5,15,0,130,3.6,90,132,Piercing,,Splash Damage,Rumored to be cursed,15
183,Celestial Dirk,Weapon,6,Common,Tier 1,1,10,0,30,2.1,64,99,Piercing,,Attack Speed +15%,Whispers of ancient magic,10
184,Arcane Crown,Armor,1,Uncommon,Tier 1,1,0,9,10,2.3,86,133,,Heavy,Damage Reduction 10%,Decorated with jewels,10.4
185,Dark Cap,Armor,28,Common,Tier 3,2.2,0,18,560,6.7,129,212,,Medium,Movement Speed +15%,Masterwork quality,18
186,Flame Stiletto of Lightning,Weapon,3,Uncommon,Tier 1,1,12,0,30,2.1,78,126,Slashing,,Critical +10%,Imbued with magical energy,13.8
187,Holy Stiletto of the Void,Weapon,25,Legendary,Tier 3,2.2,44,0,12500,9.1,501,674,Bludgeoning,,+15 Fire Damage,Recovered from a great battle,88
188,Hide Breastplate,Armor,17,Rare,Tier 2,1.5,0,16,765,5.4,162,270,,Medium,Fire Resist 10%,Shows signs of age,21.6
189,Dark Tunic,Armor,25,Common,Tier 3,2.2,0,18,500,6.5,155,225,,Light,Fire Resist 10%,Legendary artifact of power,18
